matched_depth_Vs,RES
15,-0.015660736
16,0.088974857
16,0.523460778
17,-0.075329107
17,0.081936719
18,0.008601195
19,0.121780483
19,0.138289335
19,0.478673002
19,0.359541017
20,-0.06306186
20,-0.079135709
20,0.089840562
20,0.033597156
20,0.014609919
20,0.026114366
20,0.020075785
20,0.013955569
20,-0.097822987
20,0.014867025
20,-0.057483854
20,0.084389367
20,0.037450916
20,-0.030076127
20,0.059528208
20,0.064716062
20,0.049430865
20,0.074561384
20,0.033244377
20,-0.0128646
20,0.463999298
20,0.35476238
20,0.352157359
19,0.249402006
19,0.300954627
17,0.25927098
19,0.272913482
19,0.314816058
23,0.717487031
24,0.315469205
24,0.316209985
24,0.362216292
25,0.532379425
26,0.348573115
27,0.386877629
28,0.331223161
28,0.485632925
28,0.466479764
29,0.281266407
29,0.213988371
29,-0.055296091
28,0.47643582
29,0.325669798
29,0.248479803
29,0.347724535
25,0.28873815
23,0.383237744
23,0.197734504
24,0.371297151
18,0.274636606
17,0.806109853
17,0.361581167
16,0.249720536
19,0.172052244
19,0.476508963
19,0.411192319
16,0.759526394
28,0.47403804
28,0.366314347
17,0.101079118
29,0.118758141
27,0.34627284
18,0.266844646
24,0.15515629
17,0.58206958
28,0.315392669
19,0.293489398
15,0.508790731
15,0.817333477
22,0.702109717
28,0.136742441
27,0.17952206
28,0.163752008
